"Progression
(suggestions panel header)",Stakeholder Group,"Suggested Group
(search bar grouping)",Attribute,Example,Description,"Field Type
(as built on Vercel)","Filters panel
field label","Filters panel
section",Search status,Notes
"Find the order
(What is it?)
↓",n/a — grid-column derived,Order Identifiers,Order Number,0000000091000,The order's identifying number,Text Input,Order Number,Order Identifiers,Live in search,"Column on all three tabs. Auto-generated numbers are digits, customer-provided ones keep letters — match: 'bot…"
"Who it belongs to
↓",n/a — grid-column derived,Customers & Parties,Customer,WEYERH_01,Owning customer / org code,Autocomplete Text (lazy),Customer,Order Identifiers,Live in search,"Column on all three tabs. Panel: lazy-paged ComboBox, all tabs (LINX-10285)."
"Where it goes
↓",n/a — grid-column derived,Route & Geography,Shipper Location,"G2O TECH SOLUTIONS, Bastrop, LA, US",Consignor facility + city / state / country,Autocomplete Text (City/State/Country),"Origin City, State, Country",Route & Geography,Live in search,"All tab column ""Shipper Location"". Projected from row.consignor as name-first text."
,,,Destination Location,"SOLVAY CHEMICALS PL, Green River, WY, US",Consignee facility + city / state / country,Autocomplete Text (City/State/Country),"Destination City, State, Country",Route & Geography,Live in search,"All tab column ""Destination Location"". Projected from row.consignee."
"When it moves
↓",n/a — grid-column derived,Schedule & Appointments,Latest Pickup Date,6/5/2026,Latest pickup date at the consignor,Date Picker + Range,Latest Pickup Date,Schedule,Live in search,"All tab column is ""Latest Pickup Date and Time"" — the bar drops time-of-day because no date criterion is finer…"
,,,Latest Delivery Date,6/7/2026,Latest delivery date at the consignee,Date Picker + Range,Latest Delivery Date,Schedule,Live in search,"All tab column ""Latest Delivery Date and Time"". Same time-of-day drop. Panel: date-range, All tab."
"How it moves
↓",n/a — grid-column derived,Transport & Equipment,Equipment,LTR,Equipment code,Search bar only — enum value,Not a filter — search bar only,—,Live in search,All tab column. Catalog = EQUIPMENT_CODES. NOT in the filter panel.
,,,Ship Direction,Outbound,Inbound or outbound movement,Search bar only — enum value,Not a filter — search bar only,—,Live in search,All tab column. Stored 'O'/'I'; the progression carries DISPLAY labels because the grid shows labels.
,,,Freight Terms,Pre-Paid/Add,Who pays the freight,Search bar only — enum value,Not a filter — search bar only,—,Live in search,"All tab column. Stored 'A'/'T'/'P'/'N'/'C'; labels are Pre-Paid, Collect, Pre-Paid/Add, Third Party, No Charge…"
"Operational status
↓",n/a — grid-column derived,Order Status & Source,Order Status,Planned Load,Order lifecycle status,Dropdown (multi-select),Order Status,Order Identifiers,Live in search,"All tab column. Panel: enum chips, All tab only."
,,,Order Source,Integrated,How the order entered the system,Search bar only — enum value,Not a filter — search bar only,—,Live in search,"All tab column. Stored 'INTEGRATED'/'MANUAL', projected title-case. NOT in the filter panel."
,,,Validation Status,Complete,OIF validation state of an integrated order,Dropdown (multi-select),Validation Status,Draft & Errors,Live in search,"Validation Errors tab column ""Validation Status"" (renamed from ""Draft Order Status"", Ramesh, 2026-09-10, S145)…"
,,,Errors Count,1,TOTAL validation errors on the order — structural (Level 1) + master data (Level 2),Operator + Number,Errors Count,Draft & Errors,Live in search,"Validation Errors tab column ""Errors Count""."
"Order classification
↓",n/a — grid-column derived,Classification,Hazardous,Hazmat,Hazmat indicator,Search bar only — enum value,Not a filter — search bar only,—,Live in search,"All tab column; the grid renders a ""Hazmat"" badge, the bar matches Yes/No."
"Cargo details
↓",n/a — grid-column derived,Cargo & Handling,Gross Weight,6129,Gross weight of the order,Search bar only — number,Not a filter — search bar only,—,Live in search,"All tab column. Stored { value, uom } (lbs); the progression projects the value only."
,,,Volume,166,Volume of the order,Search bar only — number,Not a filter — search bar only,—,Live in search,"All tab column. Stored { value, uom } (cbf); value only. Seeded range 20–555. NOT in the filter panel."
"Who touched it
↓",n/a — grid-column derived,Created & Edited,Created,5/29/2026,Date the order was created,Date Picker + Range,Created Date,Audit Trail,Live in search,"Draft tab column ""Created"" (LINX-11663). Panel: date-range labelled ""Created Date"", Draft tab."
,,,Created By,ben.planner,User who created the order,Autocomplete Text (lazy),Created By,Audit Trail,Live in search,"Draft tab column. Panel: lazy ComboBox, Draft tab."
,,,Last Edit,9/15/2026,Date the order was last edited,Date Picker + Range,Last Edit Date,Audit Trail,Live in search,"Draft tab column ""Last Edit"". Panel: date-range labelled ""Last Edit Date"", Draft tab."
,,,Last Edited By,cara.planner,User who last edited the order,Autocomplete Text (lazy),Last Edited By,Audit Trail,Live in search,"Draft tab column — user-directed (R2-4), deviates from LINX-11663's column set."
,n/a — grid-column derived,"n/a — row field, no column",PO Number,,,Proposed — no control built,Not a filter — search bar only,—,Not in search,"On the row but on no grid — adding it means adding a column, an attribute and an orderSearchRow field together…"
,,,Commodity,,,Proposed — no control built,Not a filter — search bar only,—,Not in search,"On the row but on no grid — adding it means adding a column, an attribute and an orderSearchRow field together…"
,,,Planning Date Type,,,Proposed — no control built,Not a filter — search bar only,—,Not in search,"On the row but on no grid — adding it means adding a column, an attribute and an orderSearchRow field together…"
,,,Earliest Pickup / Delivery timestamps,,,Proposed — no control built,Not a filter — search bar only,—,Not in search,"On the row but on no grid — adding it means adding a column, an attribute and an orderSearchRow field together…"
